"species","dataSource","countryCode","stateProvince","year","individualCount","coordinateUncertaintyInMeters","taxonRank","gbifID","ID","decimalLongitude","decimalLatitude"
"Picea rubens","Hybrid Index Database","NA",NA,"NA","NA","NA","SPECIES",NA,5753,-60.4166,53.2833
"Picea rubens","GBIF","CAN",NA,"2006","NA","NA","SPECIES",1248732472,113,-64.55,47.8333
"Picea rubens","GBIF","CAN",NA,"2006","NA","NA","SPECIES",1248732376,114,-64.5833,47.7833
"Picea rubens","GBIF","CAN",NA,"1950","NA","NA","SPECIES",465857270,136,-60.3963,46.7135
"Picea rubens","GBIF","CAN",NA,"1978","NA","NA","SPECIES",668786256,5,-68.1444,48.5125
"Picea rubens","GBIF","CAN",NA,"2008","NA","NA","SPECIES",1248732435,112,-65.0292,47.8275
"Picea rubens","GBIF","CAN",NA,"1950","NA","NA","SPECIES",465857269,137,-60.5473,46.6599
"Picea rubens","GBIF","CAN",NA,"1936","NA","NA","SPECIES",1890023971,71,-114.833,49.7
"Picea rubens","GBIF","CAN",NA,"1988","NA","NA","SPECIES",668786258,4,-71.8,48.8667
"Picea rubens","GBIF","CAN",NA,"1964","NA","NA","SPECIES",4512840046,103,-65.65,47.6
"Picea rubens","GBIF","CAN",NA,"1965","NA","NA","SPECIES",4512909043,85,-67.0167,47.85
"Picea rubens","GBIF","CAN",NA,"1953","NA","NA","SPECIES",465857279,133,-60.4289,46.2493
"Picea rubens","GBIF","CAN",NA,"1995","NA","NA","SPECIES",1248732431,51,-70.8292,48.5747
"Picea rubens","GBIF","CAN",NA,"1964","NA","NA","SPECIES",1248732384,64,-70.1167,48.4
"Picea rubens","GBIF","CAN",NA,"1956","NA","NA","SPECIES",465857301,132,-60.3577,46.1502
"Picea rubens","GBIF","CAN",NA,"2006","NA","NA","SPECIES",1248732447,111,-64.9833,47.3
"Picea rubens","GBIF","CAN",NA,"1964","NA","NA","SPECIES",668786227,8,-70.1167,48.3667
"Picea rubens","GBIF","CAN",NA,"1964","NA","NA","SPECIES",1261965704,46,-70.1982,48.3762
"Picea rubens","GBIF","CAN",NA,"1964","NA","NA","SPECIES",473541947,78,-65.4333,47.35
"Picea rubens","GBIF","CAN",NA,"1972","NA","NA","SPECIES",465857352,131,-59.9709,45.9228
